strategy,enb_mean,enb_median,enb_min,enb_max
aw_base,2.08420315062628,2.1240437048233733,1.6525544640055276,2.3421812632161334
aw_crypto,4.013546932240149,4.167321602860335,2.7991669528010803,4.511306251164159
ew_base,2.409609909146814,2.4478475369797983,2.084488876630307,2.5679077330562703
ew_crypto,2.4236128745183656,2.479048018770558,1.9836398590851165,2.7765401017227043
hybrid_base,2.453894903034797,2.4701364856902317,1.8871486929899741,2.808763684662725
hybrid_crypto,4.461037892193714,4.643046983200594,3.038850400624996,4.873148330324674
hybrid_loose_base,2.75058196906683,2.751823742662093,2.3652550607924385,2.968424606920337
hybrid_loose_crypto,4.745401711666921,4.930893300535315,3.6273894723533737,4.979357362651905
hybrid_ruonia_capped_base,2.453280836495731,2.4645630988592777,1.8878137225533822,2.8087636846627255
hybrid_ruonia_capped_crypto,4.459621199455989,4.643046983200594,3.0363991806307435,4.873148330324673
hybrid_unconstrained_base,3.151117961922254,3.0640751551809773,2.999996613772646,3.5968361177358434
hybrid_unconstrained_crypto,5.078469641886692,4.999994172007863,4.999235987372146,5.60380102321906
mv_sample_base,1.0078717563514012,1.007849224408677,1.001541958021124,1.0164596136686732
mv_sample_crypto,1.0075224616124714,1.0078389734684807,1.0007753753088813,1.016445504715058
mv_shrink_base,2.248232761303687,2.147005844239884,1.4524092969487783,3.236645452500809
mv_shrink_crypto,2.661704807804446,2.395804670318483,1.9063709107544855,3.567898731298466
rp_sample_base,3.151117961922254,3.0640751551809773,2.999996613772646,3.5968361177358434
rp_sample_crypto,5.078469641886692,4.999994172007863,4.999235987372147,5.60380102321906
rp_shrink_base,3.9990141544996907,3.9998446441393494,3.9935340723916735,3.9999958955681123
rp_shrink_crypto,5.777751179291307,5.999977318675201,4.999997064459308,5.999992022632124
