,ew_base,ew_crypto,mv_sample_base,mv_sample_crypto,mv_shrink_base,mv_shrink_crypto,rp_sample_base,rp_sample_crypto,rp_shrink_base,rp_shrink_crypto,aw_base,aw_crypto,hybrid_base,hybrid_crypto,hybrid_loose_base,hybrid_loose_crypto,hybrid_unconstrained_base,hybrid_unconstrained_crypto,hybrid_ruonia_capped_base,hybrid_ruonia_capped_crypto
ew_base,0.0,0.02356539,0.00863962,0.00864275,0.00563914,0.00497219,0.0054439,0.0067803,0.00302551,0.0058689,0.00215127,0.00712477,0.0022883,0.00608184,0.00367388,0.00634758,0.0054439,0.0067803,0.00153224,0.00632035
ew_crypto,0.02356539,0.0,0.02729176,0.0272815,0.02543742,0.02513908,0.02475188,0.01997561,0.02426294,0.01885655,0.02394018,0.01675777,0.02391993,0.01814636,0.02420166,0.01921768,0.02475188,0.01997561,0.02374945,0.01759254
mv_sample_base,0.00863962,0.02729176,0.0,1.539e-05,0.00362615,0.00430489,0.00476922,0.00924856,0.00585667,0.00978229,0.00918388,0.01305911,0.00756314,0.01108349,0.00667475,0.00995845,0.00476922,0.00924856,0.00878977,0.01192828
mv_sample_crypto,0.00864275,0.0272815,1.539e-05,0.0,0.00362882,0.0043078,0.0047719,0.009242,0.00585943,0.00977544,0.00918678,0.01305244,0.00756521,0.0110763,0.0066769,0.00995183,0.0047719,0.009242,0.00879184,0.0119211
mv_shrink_base,0.00563914,0.02543742,0.00362615,0.00362882,0.0,0.00191815,0.00321333,0.00693116,0.00262546,0.00724603,0.00636005,0.01049164,0.00447366,0.00844847,0.00365018,0.0073902,0.00321333,0.00693116,0.00561889,0.00923988
mv_shrink_crypto,0.00497219,0.02513908,0.00430489,0.0043078,0.00191815,0.0,0.00446338,0.00732441,0.00252644,0.00660869,0.00577597,0.01004201,0.00416584,0.00806901,0.00431807,0.00722994,0.00446338,0.00732441,0.00501699,0.00876277
rp_sample_base,0.0054439,0.02475188,0.00476922,0.0047719,0.00321333,0.00446338,0.0,0.00576056,0.00369549,0.0070587,0.00634256,0.00986657,0.00383532,0.00769063,0.00233892,0.00646756,0.0,0.00576056,0.00505986,0.00853196
rp_sample_crypto,0.0067803,0.01997561,0.00924856,0.009242,0.00693116,0.00732441,0.00576056,0.0,0.00637499,0.00420637,0.00731893,0.00570743,0.00618761,0.00285342,0.00577262,0.00114136,0.00576056,0.0,0.00650679,0.00369702
rp_shrink_base,0.00302551,0.02426294,0.00585667,0.00585943,0.00262546,0.00252644,0.00369549,0.00637499,0.0,0.00591736,0.00399851,0.00867639,0.00221933,0.00683213,0.00265071,0.0062112,0.00369549,0.00637499,0.00315262,0.00751034
rp_shrink_crypto,0.0058689,0.01885655,0.00978229,0.00977544,0.00724603,0.00660869,0.0070587,0.00420637,0.00591736,0.0,0.00665882,0.00481309,0.00604359,0.00304894,0.00650036,0.00361272,0.0070587,0.00420637,0.00603996,0.00332678
aw_base,0.00215127,0.02394018,0.00918388,0.00918678,0.00636005,0.00577597,0.00634256,0.00731893,0.00399851,0.00665882,0.0,0.00721125,0.0028466,0.00652861,0.004549,0.00683181,0.00634256,0.00731893,0.00163241,0.00661708
aw_crypto,0.00712477,0.01675777,0.01305911,0.01305244,0.01049164,0.01004201,0.00986657,0.00570743,0.00867639,0.00481309,0.00721125,0.0,0.00785767,0.002854,0.00872163,0.00456606,0.00986657,0.00570743,0.00712845,0.00201312
hybrid_base,0.0022883,0.02391993,0.00756314,0.00756521,0.00447366,0.00416584,0.00383532,0.00618761,0.00221933,0.00604359,0.0028466,0.00785767,0.0,0.00615701,0.0017024,0.00590882,0.00383532,0.00618761,0.00122663,0.0067975
hybrid_crypto,0.00608184,0.01814636,0.01108349,0.0110763,0.00844847,0.00806901,0.00769063,0.00285342,0.00683213,0.00304894,0.00652861,0.002854,0.00615701,0.0,0.00673156,0.00171206,0.00769063,0.00285342,0.00595481,0.00084479
hybrid_loose_base,0.00367388,0.02420166,0.00667475,0.0066769,0.00365018,0.00431807,0.00233892,0.00577262,0.00265071,0.00650036,0.004549,0.00872163,0.0017024,0.00673156,0.0,0.00584093,0.00233892,0.00577262,0.00292722,0.00748644
hybrid_loose_crypto,0.00634758,0.01921768,0.00995845,0.00995183,0.0073902,0.00722994,0.00646756,0.00114136,0.0062112,0.00361272,0.00683181,0.00456606,0.00590882,0.00171206,0.00584093,0.0,0.00646756,0.00114136,0.00609881,0.00255605
hybrid_unconstrained_base,0.0054439,0.02475188,0.00476922,0.0047719,0.00321333,0.00446338,0.0,0.00576056,0.00369549,0.0070587,0.00634256,0.00986657,0.00383532,0.00769063,0.00233892,0.00646756,0.0,0.00576056,0.00505986,0.00853196
hybrid_unconstrained_crypto,0.0067803,0.01997561,0.00924856,0.009242,0.00693116,0.00732441,0.00576056,0.0,0.00637499,0.00420637,0.00731893,0.00570743,0.00618761,0.00285342,0.00577262,0.00114136,0.00576056,0.0,0.00650679,0.00369702
hybrid_ruonia_capped_base,0.00153224,0.02374945,0.00878977,0.00879184,0.00561889,0.00501699,0.00505986,0.00650679,0.00315262,0.00603996,0.00163241,0.00712845,0.00122663,0.00595481,0.00292722,0.00609881,0.00505986,0.00650679,0.0,0.00620996
hybrid_ruonia_capped_crypto,0.00632035,0.01759254,0.01192828,0.0119211,0.00923988,0.00876277,0.00853196,0.00369702,0.00751034,0.00332678,0.00661708,0.00201312,0.0067975,0.00084479,0.00748644,0.00255605,0.00853196,0.00369702,0.00620996,0.0
