,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,CVaR_5%,DiversificationRatio,Skewness,Kurtosis
ew_base,0.09049,0.09291,0.98007,1.42178,-0.24739,-0.03318,,-1.73436,9.72292
ew_crypto,0.30039,0.26101,1.13948,2.02192,-0.50084,-0.07509,,-0.24068,2.78631
mv_sample_base,0.0766,0.0057,12.95166,inf,0.0,0.00044,,0.59127,-1.06844
mv_sample_crypto,0.07665,0.0057,12.9602,inf,0.0,0.00045,,0.59433,-1.06855
mv_shrink_base,0.0529,0.04524,1.16253,1.73285,-0.13637,-0.01572,,-1.16336,12.06
mv_shrink_crypto,0.06635,0.05363,1.22573,1.7198,-0.14893,-0.01733,,-2.79412,24.76937
rp_sample_base,0.07665,0.07303,1.04855,1.52397,-0.21288,-0.02629,,-0.98439,15.01881
rp_sample_crypto,0.0674,0.10857,0.65594,0.9541,-0.37144,-0.03748,,-1.30974,9.86308
rp_shrink_base,0.06958,0.06616,1.0506,1.53047,-0.19715,-0.0237,,-1.58818,10.23477
rp_shrink_crypto,0.11016,0.10418,1.05646,1.60934,-0.3451,-0.03657,,-1.04964,6.05131
aw_base,0.07161,0.10406,0.71822,0.98339,-0.26007,-0.03727,,-2.5138,17.44552
aw_crypto,0.1389,0.13221,1.05192,1.6155,-0.32882,-0.04297,,-1.30379,6.94785
hybrid_base,0.07569,0.08534,0.89858,1.30571,-0.23159,-0.03071,,-1.42593,9.00556
hybrid_crypto,0.10329,0.11568,0.90894,1.36739,-0.35027,-0.03914,,-1.2891,7.34453
hybrid_loose_base,0.07569,0.08534,0.89858,1.30571,-0.23159,-0.03071,,-1.42593,9.00556
hybrid_loose_crypto,0.10329,0.11568,0.90894,1.36739,-0.35027,-0.03914,,-1.2891,7.34453
hybrid_unconstrained_base,0.07569,0.08534,0.89858,1.30571,-0.23159,-0.03071,,-1.42593,9.00556
hybrid_unconstrained_crypto,0.10329,0.11568,0.90894,1.36739,-0.35027,-0.03914,,-1.2891,7.34453
hybrid_ruonia_capped_base,0.06902,0.09828,0.72943,1.02172,-0.27509,-0.03559,,-2.03363,13.22766
hybrid_ruonia_capped_crypto,0.1109,0.1227,0.91995,1.39377,-0.35027,-0.04108,,-1.26668,6.71564
