,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,CVaR_5%,DiversificationRatio,Skewness,Kurtosis
ew_base,0.13467,0.06818,1.88923,3.48351,-0.06454,-0.01915,,-0.26189,1.14408
ew_crypto,0.36258,0.22607,1.4837,3.07475,-0.19092,-0.05455,,0.4269,1.75726
mv_sample_base,0.087,0.00581,14.37612,inf,0.0,0.00048,,0.25133,-1.39784
mv_sample_crypto,0.08702,0.00581,14.3762,inf,0.0,0.00049,,0.25331,-1.40199
mv_shrink_base,0.08193,0.02994,2.64717,5.48264,-0.0345,-0.00771,,0.25882,2.96822
mv_shrink_crypto,0.0931,0.0302,2.96563,6.76923,-0.02531,-0.00692,,0.13344,0.358
rp_sample_base,0.12338,0.04381,2.68037,5.34361,-0.039,-0.01248,,0.98789,9.93251
rp_sample_crypto,0.14405,0.07669,1.79503,3.49866,-0.09967,-0.01927,,0.41124,2.61793
rp_shrink_base,0.10657,0.04609,2.22245,4.25699,-0.04836,-0.01242,,-0.13838,1.45065
rp_shrink_crypto,0.17364,0.07192,2.2652,5.08134,-0.04872,-0.01596,,0.62836,2.80624
aw_base,0.11476,0.07422,1.50209,2.64471,-0.09043,-0.02125,,-0.23858,1.42403
aw_crypto,0.18526,0.10024,1.7481,3.53407,-0.09822,-0.02378,,0.18572,0.56354
hybrid_base,0.11297,0.06043,1.80295,3.34476,-0.08741,-0.01705,,0.02946,2.11931
hybrid_crypto,0.16492,0.08479,1.84512,3.76779,-0.09893,-0.01949,,0.25834,1.08883
hybrid_loose_base,0.11297,0.06043,1.80295,3.34476,-0.08741,-0.01705,,0.02946,2.11931
hybrid_loose_crypto,0.16492,0.08479,1.84512,3.76779,-0.09893,-0.01949,,0.25834,1.08883
hybrid_unconstrained_base,0.11297,0.06043,1.80295,3.34476,-0.08741,-0.01705,,0.02946,2.11931
hybrid_unconstrained_crypto,0.16492,0.08479,1.84512,3.76779,-0.09893,-0.01949,,0.25834,1.08883
hybrid_ruonia_capped_base,0.11358,0.06973,1.57919,2.83648,-0.08741,-0.01969,,-0.14738,1.41525
hybrid_ruonia_capped_crypto,0.1677,0.09093,1.75258,3.55622,-0.09893,-0.02082,,0.21358,0.62984
