strategy,mean_ruonia_rc_share,max_ruonia_rc_share
aw_base,-0.00033253962706054674,-9.203731618702371e-06
aw_crypto,-0.00020471673851285303,9.10334553612287e-05
ew_base,-0.0007841593734800935,-9.911053388378664e-05
ew_crypto,-0.00017701037422829016,8.965548817543156e-05
hybrid_base,-0.0003386555853035804,0.0010234807172673547
hybrid_crypto,4.281360462682201e-05,0.0013043195016252769
hybrid_loose_base,0.0014395895922472356,0.011964327647328656
hybrid_loose_crypto,0.0010811910583665364,0.008516131504081023
hybrid_ruonia_capped_base,-0.0002984835527164366,4.1852492753996276e-05
hybrid_ruonia_capped_crypto,-7.592502302619017e-05,0.00031774733007766535
hybrid_unconstrained_base,0.026024857840802634,0.10503117508818278
hybrid_unconstrained_crypto,0.008597538504579831,0.06757445660606547
mv_sample_base,0.9960878935691571,0.9992296174305944
mv_sample_crypto,0.996261514447914,0.9996124990843458
mv_shrink_base,0.6091580292582619,0.8167177122672825
mv_shrink_crypto,0.524124663706293,0.6837891558430912
rp_sample_base,0.026024857840802634,0.10503117508818278
rp_sample_crypto,0.008597538504579831,0.06757445660606547
rp_shrink_base,0.24602966914653449,0.24960753831733173
rp_shrink_crypto,0.1290875860817718,0.16628177046242199
