,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,CVaR_5%,FullSampleDiversificationRatio,Skewness,Kurtosis,DiversificationRatioMean,DiversificationRatioMedian
ew_base,-0.01359,0.13639,-0.0313,-0.04148,-0.23644,-0.05591,1.58843,-1.66955,5.68724,1.57699,1.54979
ew_crypto,0.15567,0.33443,0.60233,0.94734,-0.46509,-0.10987,1.28923,-0.68603,2.12567,1.25232,1.26932
mv_sample_base,0.05129,0.00382,13.08736,N/A,0.0,0.00038,1.28616,1.6881,2.81071,1.36676,1.30417
mv_sample_crypto,0.05146,0.00385,13.04131,N/A,0.0,0.00038,1.33328,1.68648,2.77178,1.40686,1.34109
mv_shrink_base,-0.01701,0.06979,-0.21099,-0.29086,-0.13155,-0.02759,1.72744,-0.85966,5.65489,1.75358,1.74921
mv_shrink_crypto,0.0019,0.08671,0.06549,0.08703,-0.13505,-0.03579,1.82491,-1.92173,9.38953,1.8515,1.84834
rp_sample_base,-0.03292,0.11739,-0.22644,-0.31437,-0.21288,-0.0461,1.75803,-0.66437,5.82018,1.67703,1.64822
rp_sample_crypto,-0.10411,0.16174,-0.59724,-0.79451,-0.35262,-0.06477,1.76164,-1.19768,4.98306,1.70622,1.65132
rp_shrink_base,-0.01845,0.09982,-0.13644,-0.18327,-0.19076,-0.0405,1.94893,-1.35335,5.13816,1.9446,1.91839
rp_shrink_crypto,-0.03531,0.15788,-0.1483,-0.2058,-0.32856,-0.06041,1.9777,-0.95494,2.04356,1.9215,1.98805
aw_base,-0.03009,0.15564,-0.11628,-0.14544,-0.24029,-0.06688,1.51428,-2.44602,10.60747,1.48401,1.46768
aw_crypto,0.02973,0.19059,0.25062,0.34461,-0.30398,-0.0763,1.6152,-1.49162,4.30516,1.55794,1.5627
hybrid_base,-0.01299,0.1281,-0.03759,-0.05047,-0.22508,-0.0519,1.58088,-1.31804,4.49648,1.55988,1.52426
hybrid_crypto,-0.03825,0.16972,-0.14386,-0.19515,-0.32854,-0.06862,1.66149,-1.3107,3.86867,1.60577,1.60356
hybrid_loose_base,-0.00415,0.121,0.02607,0.03672,-0.2174,-0.04527,1.63966,-0.82739,4.34964,1.61069,1.5677
hybrid_loose_crypto,-0.07804,0.1632,-0.41499,-0.55619,-0.34304,-0.0643,1.70278,-1.248,4.58151,1.64586,1.61723
hybrid_unconstrained_base,-0.03292,0.11739,-0.22644,-0.31437,-0.21288,-0.0461,1.75803,-0.66437,5.82018,1.67703,1.64822
hybrid_unconstrained_crypto,-0.10411,0.16174,-0.59724,-0.79451,-0.35262,-0.06477,1.76164,-1.19768,4.98306,1.70622,1.65132
hybrid_ruonia_capped_base,-0.03575,0.14731,-0.17208,-0.22147,-0.26017,-0.06229,1.57126,-1.92019,7.49704,1.55497,1.52403
hybrid_ruonia_capped_crypto,-0.02056,0.17914,-0.02522,-0.03441,-0.32854,-0.07263,1.65829,-1.3327,3.654,1.60449,1.60356
