,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,CVaR_5%,DiversificationRatio,Skewness,Kurtosis,DiversificationRatioMean,DiversificationRatioMedian
ew_base,0.09049,0.09291,0.98007,1.42178,-0.24739,-0.03318,1.58843,-1.73436,9.72292,1.58843,1.55776
ew_crypto,0.30039,0.26101,1.13948,2.02192,-0.50084,-0.07509,1.28923,-0.24068,2.78631,1.28923,1.28756
mv_sample_base,0.07721,0.00573,12.99185,N/A,0.0,0.00044,1.28616,0.56875,-1.08188,1.28616,1.23809
mv_sample_crypto,0.07737,0.00573,13.01282,N/A,0.0,0.00044,1.33328,0.56339,-1.09075,1.33328,1.25489
mv_shrink_base,0.0529,0.04524,1.16259,1.73294,-0.13637,-0.01572,1.72744,-1.16337,12.05995,1.72744,1.73233
mv_shrink_crypto,0.06608,0.05272,1.24103,1.75083,-0.14483,-0.01703,1.82491,-2.67008,23.44733,1.82491,1.76279
rp_sample_base,0.07665,0.07303,1.04855,1.52397,-0.21288,-0.02629,1.75803,-0.98439,15.01881,1.75803,1.66645
rp_sample_crypto,0.0674,0.10857,0.65594,0.9541,-0.37144,-0.03748,1.76164,-1.30974,9.86308,1.76164,1.70324
rp_shrink_base,0.06958,0.06616,1.0506,1.53047,-0.19715,-0.0237,1.94893,-1.58818,10.23477,1.94893,1.92679
rp_shrink_crypto,0.11016,0.10418,1.05646,1.60934,-0.3451,-0.03657,1.9777,-1.04964,6.05131,1.9777,1.99213
aw_base,0.07161,0.10406,0.71822,0.98339,-0.26007,-0.03727,1.51428,-2.5138,17.44552,1.51428,1.48437
aw_crypto,0.1389,0.13221,1.05192,1.6155,-0.32882,-0.04297,1.6152,-1.30379,6.94785,1.6152,1.66501
hybrid_base,0.07569,0.08534,0.89858,1.30571,-0.23159,-0.03071,1.58088,-1.42593,9.00556,1.58088,1.55104
hybrid_crypto,0.10329,0.11568,0.90894,1.36739,-0.35027,-0.03914,1.66149,-1.2891,7.34453,1.66149,1.69154
hybrid_loose_base,0.07744,0.08008,0.97221,1.45534,-0.2174,-0.02856,1.63966,-0.94957,9.0996,1.63966,1.59627
hybrid_loose_crypto,0.08178,0.11011,0.77001,1.13564,-0.36301,-0.03788,1.70278,-1.31239,8.94453,1.70278,1.69986
hybrid_unconstrained_base,0.07665,0.07303,1.04855,1.52397,-0.21288,-0.02629,1.75803,-0.98439,15.01881,1.75803,1.66645
hybrid_unconstrained_crypto,0.0674,0.10857,0.65594,0.9541,-0.37144,-0.03748,1.76164,-1.30974,9.86308,1.76164,1.70324
hybrid_ruonia_capped_base,0.06902,0.09828,0.72943,1.02172,-0.27509,-0.03559,1.57126,-2.03363,13.22766,1.57126,1.53828
hybrid_ruonia_capped_crypto,0.1109,0.1227,0.91995,1.39377,-0.35027,-0.04108,1.65829,-1.26668,6.71564,1.65829,1.68161
