,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,CVaR_5%,FullSampleDiversificationRatio,Skewness,Kurtosis,DiversificationRatioMean,DiversificationRatioMedian
ew_base,0.13467,0.06818,1.88923,3.48351,-0.06454,-0.01915,1.58843,-0.26189,1.14408,1.59324,1.56138
ew_crypto,0.36258,0.22607,1.4837,3.07475,-0.19092,-0.05455,1.28923,0.4269,1.75726,1.30476,1.33003
mv_sample_base,0.08765,0.00581,14.47039,N/A,0.0,0.00049,1.28616,0.24609,-1.39068,1.25223,1.23809
mv_sample_crypto,0.0878,0.00581,14.50249,N/A,0.0,0.00048,1.33328,0.24145,-1.39408,1.30229,1.25489
mv_shrink_base,0.08193,0.02994,2.6473,5.48289,-0.0345,-0.00771,1.72744,0.25879,2.96834,1.71643,1.73233
mv_shrink_crypto,0.09261,0.0298,2.98922,6.87041,-0.02451,-0.00674,1.82491,0.15809,0.38513,1.81371,1.75869
rp_sample_base,0.12338,0.04381,2.68037,5.34361,-0.039,-0.01248,1.75803,0.98789,9.93251,1.79213,1.84269
rp_sample_crypto,0.14405,0.07669,1.79503,3.49866,-0.09967,-0.01927,1.76164,0.41124,2.61793,1.78497,1.73301
rp_shrink_base,0.10657,0.04609,2.22245,4.25699,-0.04836,-0.01242,1.94893,-0.13838,1.45065,1.95075,1.92991
rp_shrink_crypto,0.17364,0.07192,2.2652,5.08134,-0.04872,-0.01596,1.9777,0.62836,2.80624,2.00136,1.99372
aw_base,0.11476,0.07422,1.50209,2.64471,-0.09043,-0.02125,1.51428,-0.23858,1.42403,1.52703,1.48692
aw_crypto,0.18526,0.10024,1.7481,3.53407,-0.09822,-0.02378,1.6152,0.18572,0.56354,1.63931,1.66987
hybrid_base,0.11297,0.06043,1.80295,3.34476,-0.08741,-0.01705,1.58088,0.02946,2.11931,1.58973,1.5574
hybrid_crypto,0.16492,0.08479,1.84512,3.76779,-0.09893,-0.01949,1.66149,0.25834,1.08883,1.68495,1.70392
hybrid_loose_base,0.11156,0.05606,1.91645,3.5415,-0.08769,-0.01622,1.63966,0.16024,3.9162,1.65186,1.60243
hybrid_loose_crypto,0.15246,0.07885,1.841,3.68183,-0.09937,-0.01925,1.70278,0.34468,2.01229,1.72674,1.7215
hybrid_unconstrained_base,0.12338,0.04381,2.68037,5.34361,-0.039,-0.01248,1.75803,0.98789,9.93251,1.79213,1.84269
hybrid_unconstrained_crypto,0.14405,0.07669,1.79503,3.49866,-0.09967,-0.01927,1.76164,0.41124,2.61793,1.78497,1.73301
hybrid_ruonia_capped_base,0.11358,0.06973,1.57919,2.83648,-0.08741,-0.01969,1.57126,-0.14738,1.41525,1.57812,1.55333
hybrid_ruonia_capped_crypto,0.1677,0.09093,1.75258,3.55622,-0.09893,-0.02082,1.65829,0.21358,0.62984,1.68094,1.69229
